timestamp,Basilea_Temperature,Basilea_Relative_Humidity,Basilea_Wind_Speed,Basilea_Wind_Direction
20210611T1400,25.65053,46.0,5.6920996,18.434952
20210611T1500,26.06053,45.0,8.28,360.0
20210611T1600,26.31053,43.0,9.0645685,6.8427734
20210611T1700,26.440529,42.0,9.0,16.260193
20210611T1800,26.420528,42.0,7.42159,22.833649
20210611T1900,26.170528,42.0,6.12,28.07248
20210611T2000,25.55053,44.0,4.802999,12.994629
20210611T2100,24.54053,49.0,4.3349743,355.23636
20210611T2200,23.31053,57.0,4.2136917,340.0169
20210611T2300,21.610529,64.0,2.1897945,279.46234
20210612T0000,20.80053,65.0,3.8268526,228.81409
20210612T0100,20.21053,66.0,3.319036,220.6013
20210612T0200,19.000528,71.0,0.8049845,206.56505
20210612T0300,18.250528,74.0,1.08,180.0
20210612T0400,17.910528,73.0,1.8,180.0
20210612T0500,17.71053,73.0,2.8799999,180.0
20210612T0600,17.670528,72.0,3.671294,191.30994
20210612T0700,18.13053,72.0,2.1897945,189.46233
20210612T0800,19.31053,70.0,0.8049845,296.56506
20210612T0900,20.96053,66.0,2.5959969,326.30994
20210612T1000,22.97053,60.0,5.1165614,309.2894
20210612T1100,24.38053,54.0,8.669949,311.63354
20210612T1200,25.20053,50.0,9.957108,310.60132
20210612T1300,25.940529,48.0,10.948973,297.40756
20210612T1400,27.170528,44.0,14.707222,291.541
20210612T1500,27.32053,43.0,17.902534,285.15405
20210612T1600,27.510529,41.0,18.345877,285.9454
20210612T1700,27.500528,41.0,19.64228,296.09543
20210612T1800,27.15053,42.0,19.174856,309.66785
20210612T1900,26.56053,43.0,15.021105,315.971
20210612T2000,25.88053,46.0,12.88981,305.90973
20210612T2100,24.510529,53.0,11.384198,304.69516
20210612T2200,22.680529,62.0,8.404285,316.73572
20210612T2300,21.840528,66.0,7.5685663,334.65384
20210613T0000,20.23053,71.0,7.968939,341.56506
20210613T0100,18.96053,76.0,5.1544156,347.90524
20210613T0200,17.930529,80.0,5.0911684,315.0
20210613T0300,16.910528,84.0,5.8603754,317.48956
20210613T0400,16.590528,83.0,5.6233797,320.19443
20210613T0500,15.530529,86.0,6.3690495,312.7094
20210613T0600,14.730529,87.0,6.9247384,297.89728
20210613T0700,15.170529,84.0,6.696387,306.25385
20210613T0800,16.12053,79.0,5.904439,307.5686
20210613T0900,17.62053,74.0,3.7585104,343.30075
20210613T1000,19.38053,68.0,3.6,360.0
20210613T1100,20.98053,62.0,8.049845,349.69516
20210613T1200,22.240528,53.0,13.138765,350.5377
20210613T1300,23.250528,47.0,16.62249,355.03027
20210613T1400,24.180529,47.0,19.8,360.0
20210613T1500,24.760529,45.0,20.163212,1.0230255
20210613T1600,24.940529,46.0,20.880001,360.0
20210613T1700,24.96053,45.0,21.599998,360.0
20210613T1800,24.57053,45.0,21.602999,0.954834
20210613T1900,24.080528,47.0,18.391735,3.3664398
20210613T2000,23.15053,51.0,14.044615,1.4687958
20210613T2100,21.420528,57.0,8.311245,355.03027
20210613T2200,19.680529,62.0,2.0991426,59.036232
20210613T2300,18.110529,66.0,5.1919937,123.69006
20210614T0000,16.64053,69.0,6.297428,120.963745
20210614T0100,15.270529,71.0,5.6920996,108.434944
20210614T0200,13.930529,73.0,3.563818,135.0
20210614T0300,13.090529,72.0,3.396233,147.99461
20210614T0400,12.240529,75.0,2.5959969,146.30994
20210614T0500,11.480529,77.0,3.7064266,150.94539
20210614T0600,10.820529,77.0,5.00128,149.74356
20210614T0700,12.040529,73.0,1.8,126.869896
20210614T0800,14.230529,67.0,2.9024127,97.125015
20210614T0900,17.29053,61.0,7.2359104,84.289406
20210614T1000,20.590528,51.0,10.464798,86.05482
20210614T1100,22.72053,42.0,10.853866,84.289406
20210614T1200,24.360529,36.0,8.557102,67.75098
20210614T1300,25.420528,36.0,7.5685663,25.34616
20210614T1400,25.57053,50.0,8.311245,355.03027
20210614T1500,26.31053,50.0,8.825508,348.23172
20210614T1600,27.260529,47.0,9.028754,355.4261
20210614T1700,27.780529,46.0,10.538843,352.1467
20210614T1800,27.770529,46.0,9.826088,351.57306
20210614T1900,27.46053,47.0,9.3876505,355.60132
20210614T2000,26.81053,49.0,6.9899354,348.11133
20210614T2100,25.56053,55.0,7.42159,345.96375
20210614T2200,23.760529,64.0,4.896529,342.89728
20210614T2300,21.95053,70.0,1.2979984,303.69006
20210615T0000,20.690529,71.0,0.5091169,225.0
20210615T0100,19.610529,72.0,1.8,233.1301
20210615T0200,18.490528,75.0,1.8,233.1301
20210615T0300,17.62053,79.0,1.4399999,180.0
20210615T0400,17.39053,82.0,3.0758414,159.44395
20210615T0500,17.110529,86.0,4.3349743,138.36646
20210615T0600,16.660528,88.0,4.3349743,138.36646
20210615T0700,17.05053,86.0,4.510787,118.61046
20210615T0800,18.98053,77.0,7.342588,101.30993
20210615T0900,21.45053,64.0,9.0,89.99999
20210615T1000,23.82053,55.0,7.5942082,58.570435
20210615T1100,25.47053,50.0,7.6367526,8.130096
20210615T1200,26.47053,48.0,9.114471,350.90973
20210615T1300,27.37053,45.0,8.905908,345.96375
20210615T1400,28.680529,41.0,10.483357,344.0546
20210615T1500,29.39053,35.0,11.620809,343.8108
20210615T1600,29.680529,33.0,11.384199,341.56506
20210615T1700,29.660528,34.0,11.620809,343.8108
20210615T1800,29.45053,35.0,12.224107,346.37302
20210615T1900,28.97053,36.0,11.090103,346.86597
20210615T2000,28.260529,37.0,8.427383,340.0169
20210615T2100,27.06053,42.0,7.10031,329.53445
20210615T2200,25.770529,48.0,4.1046314,307.875
20210615T2300,24.240528,54.0,3.6,270.0
20210616T0000,22.990528,58.0,4.3349743,228.36647
20210616T0100,22.010529,60.0,3.563818,225.0
20210616T0200,21.20053,62.0,3.319036,220.6013
20210616T0300,20.490528,62.0,3.671294,191.30994
20210616T0400,19.940529,61.0,4.3349743,175.23636
20210616T0500,19.54053,60.0,5.3517847,160.34618
20210616T0600,19.100529,62.0,5.1919937,146.30994
20210616T0700,19.340528,63.0,4.198285,120.96376
20210616T0800,20.770529,64.0,6.763786,115.20112
20210616T0900,23.13053,60.0,8.311245,107.650116
20210616T1000,25.81053,51.0,9.9571085,102.52881
20210616T1100,27.62053,46.0,11.620809,106.1892
20210616T1200,28.760529,40.0,7.8625183,105.9454
20210616T1300,29.56053,37.0,6.28713,103.24051
20210616T1400,30.97053,32.0,3.319036,77.47118
20210616T1500,31.39053,31.0,2.968636,75.96376
20210616T1600,31.590528,31.0,2.6208394,105.9454
20210616T1700,31.500528,32.0,1.8,53.130096
20210616T1800,31.31053,33.0,2.5959969,56.30993
20210616T1900,30.90053,34.0,3.9763298,84.805565
20210616T2000,30.29053,35.0,3.9763298,84.805565
20210616T2100,29.240528,39.0,6.162207,83.29016
20210616T2200,27.180529,54.0,8.759178,99.46232
20210616T2300,24.39053,69.0,10.296251,126.46923
20210617T0000,22.39053,67.0,9.726664,141.009
20210617T0100,21.250528,70.0,7.8954163,136.84761
20210617T0200,21.71053,59.0,6.8777895,137.1211
20210617T0300,21.96053,54.0,7.289445,122.90524
20210617T0400,21.63053,53.0,6.297428,120.963745
20210617T0500,20.62053,55.0,1.609969,206.56505
20210617T0600,20.71053,56.0,4.8433046,131.98721
20210617T0700,21.430529,55.0,5.4833565,113.19859
20210617T0800,22.940529,53.0,6.725354,105.5241
20210617T0900,25.29053,49.0,6.2145634,100.00798
20210617T1000,27.270529,46.0,9.3876505,94.398705
20210617T1100,29.090528,45.0,13.138765,99.46232
20210617T1200,30.600529,41.0,9.178235,115.55997
20210617T1300,31.660528,36.0,5.692099,124.69515
20210617T1400,31.32053,41.0,5.8048253,352.875
20210617T1500,31.670528,39.0,5.6920996,18.434952
20210617T1600,31.95053,39.0,6.12,61.927513
20210617T1700,32.27053,37.0,9.0,89.99999
20210617T1800,32.19053,37.0,12.57426,103.24051
20210617T1900,31.830528,38.0,14.494192,104.381386
20210617T2000,31.14053,40.0,12.783802,99.72758
20210617T2100,29.850529,45.0,10.105681,94.08562
20210617T2200,28.04053,55.0,7.628263,109.29004
20210617T2300,26.12053,67.0,5.1544156,167.90524
20210618T0000,25.21053,66.0,4.5820518,225.0
20210618T0100,23.32053,71.0,6.151683,200.55605
20210618T0200,23.39053,74.0,6.9899354,258.11133
20210618T0300,22.70053,73.0,5.4119864,266.1859
20210618T0400,22.71053,67.0,5.771239,183.57634
20210618T0500,21.490528,70.0,9.0,180.0
20210618T0600,20.670528,72.0,6.4799995,180.0
20210618T0700,21.920528,68.0,2.9024127,119.74488
20210618T0800,23.56053,67.0,3.6,89.99999
20210618T0900,25.590528,58.0,6.130579,93.366455
20210618T1000,27.750528,53.0,9.107359,108.434944
20210618T1100,29.70053,48.0,10.028439,111.03751
20210618T1200,30.930529,42.0,9.9571085,102.52881
20210618T1300,31.940529,39.0,9.9571085,77.47118
20210618T1400,31.690529,39.0,10.823973,93.81408
20210618T1500,32.32053,38.0,7.5685663,92.72631
20210618T1600,32.62053,36.0,0.35999998,270.0
20210618T1700,31.360529,40.0,10.966713,293.1986
20210618T1800,29.740528,46.0,13.5515,286.99084
20210618T1900,29.270529,49.0,16.75064,278.65253
20210618T2000,28.110529,52.0,14.332341,281.59216
20210618T2100,27.12053,56.0,10.495713,275.90616
20210618T2200,25.90053,61.0,5.937272,255.96376
20210618T2300,24.910528,65.0,4.5536795,198.43495
20210619T0000,24.010529,68.0,5.8048253,172.87498
20210619T0100,23.110529,71.0,5.4119864,176.18593
20210619T0200,22.56053,72.0,4.6800003,157.38013
20210619T0300,21.90053,73.0,3.5455887,156.0375
20210619T0400,21.14053,72.0,3.7064266,150.94539
20210619T0500,20.46053,70.0,4.1046314,142.12502
20210619T0600,20.15053,68.0,4.1046314,127.874985
20210619T0700,20.600529,68.0,4.0249224,116.56505
20210619T0800,22.73053,65.0,7.628263,109.29004
20210619T0900,25.190529,60.0,9.9571085,102.52881
20210619T1000,27.360529,54.0,12.015589,98.61565
20210619T1100,28.70053,48.0,14.561099,98.53076
20210619T1200,29.63053,47.0,17.026896,103.44861
20210619T1300,30.39053,44.0,18.59845,104.57421
20210619T1400,31.410528,40.0,11.159999,89.99999
20210619T1500,32.130527,38.0,12.144331,101.97613
20210619T1600,32.450527,37.0,13.009903,104.42077
20210619T1700,32.470528,39.0,14.512064,113.385216
20210619T1800,32.26053,41.0,14.77755,124.077194
20210619T1900,31.98053,43.0,14.480773,124.87533
20210619T2000,31.360529,45.0,11.983188,122.73523
20210619T2100,30.250528,50.0,9.504272,127.30394
20210619T2200,28.420528,60.0,10.195057,137.8624
20210619T2300,25.910528,70.0,6.6087217,150.64224
20210620T0000,24.280529,72.0,8.12197,167.19574
20210620T0100,23.81053,71.0,7.729527,207.75854
20210620T0200,23.280529,77.0,10.365251,159.67686
20210620T0300,23.580528,68.0,9.659814,153.43495
20210620T0400,21.48053,70.0,6.9247384,152.10272
20210620T0500,21.07053,73.0,2.968636,104.03624
20210620T0600,20.20053,80.0,4.510787,61.38954
20210620T0700,20.73053,80.0,4.2136917,340.0169
20210620T0800,22.510529,76.0,8.473393,282.26477
20210620T0900,24.090528,62.0,7.24486,243.43495
20210620T1000,24.910528,57.0,7.729527,117.75854
20210620T1100,24.930529,53.0,15.542662,166.6075
20210620T1200,23.600529,63.0,20.746122,128.6598
20210620T1300,27.15053,53.0,19.386593,121.32869
20210620T1400,29.80053,41.0,20.418695,99.13017
20210620T1500,30.57053,40.0,21.626984,92.862404
20210620T1600,29.490528,45.0,14.759999,77.31962
20210620T1700,25.98053,56.0,21.980644,328.39252
20210620T1800,19.750528,90.0,43.63283,326.44104
20210620T1900,20.360529,84.0,7.5170207,253.30075
20210620T2000,20.670528,84.0,4.510787,298.61047
20210620T2100,20.31053,86.0,3.396233,32.005356
20210620T2200,19.98053,87.0,5.4119864,86.18592
20210620T2300,19.850529,88.0,5.4833565,113.19859
20210621T0000,19.71053,88.0,5.8603754,132.51044
20210621T0100,19.590528,89.0,4.5820518,135.0
20210621T0200,19.080528,91.0,4.0249224,116.56505
20210621T0300,18.96053,84.0,18.175545,277.9696
20210621T0400,16.670528,84.0,8.12197,257.19574
20210621T0500,16.40053,84.0,3.8773184,158.1986
20210621T0600,16.740528,84.0,7.2,126.869896
20210621T0700,17.530529,84.0,6.489992,109.44003
20210621T0800,18.87053,80.0,4.829907,116.56505
20210621T0900,20.40053,75.0,1.4399999,89.99999
20210621T1000,21.72053,71.0,1.1384199,71.56504
20210621T1100,22.850529,67.0,1.835647,78.69006
20210621T1200,24.04053,62.0,1.08,89.99999
20210621T1300,25.170528,57.0,1.4399999,89.99999
20210621T1400,27.190529,40.0,1.484318,345.96375
20210621T1500,27.770529,38.0,1.0182338,44.999985
20210621T1600,27.98053,37.0,3.4152596,108.434944
20210621T1700,26.88053,41.0,4.510787,208.61046
20210621T1800,26.660528,43.0,5.6233797,219.80557
20210621T1900,25.81053,45.0,4.5536795,198.43495
20210621T2000,25.47053,46.0,4.73506,188.74615
20210621T2100,24.79053,48.0,4.0249224,169.69516
20210621T2200,24.490528,48.0,4.8433046,131.98721
20210621T2300,23.100529,58.0,7.386582,136.97493
20210622T0000,20.170528,68.0,8.825508,168.2317
20210622T0100,19.20053,70.0,7.342588,168.69006
20210622T0200,18.07053,75.0,6.8399997,180.0
20210622T0300,17.490528,75.0,6.638072,167.47119
20210622T0400,17.46053,75.0,6.638072,139.3987
20210622T0500,17.160528,76.0,5.3999996,143.1301
20210622T0600,16.71053,79.0,2.5455842,135.0
20210622T0700,17.080528,78.0,1.484318,345.96375
20210622T0800,18.64053,73.0,2.0991426,329.03625
20210622T0900,20.71053,68.0,2.16,270.0
20210622T1000,20.81053,66.0,22.461807,276.4416
20210622T1100,20.740528,61.0,23.087763,280.7843
20210622T1200,21.54053,54.0,18.057508,274.5739
20210622T1300,22.610529,50.0,16.75064,278.65253
20210622T1400,21.000528,64.0,17.193533,289.57312
20210622T1500,20.830528,64.0,16.854767,289.98312
20210622T1600,21.07053,64.0,14.241629,286.14435
20210622T1700,21.46053,62.0,9.693296,291.8014
20210622T1800,21.90053,59.0,6.989936,304.50854
20210622T1900,21.920528,58.0,5.0142193,291.0375
20210622T2000,21.680529,58.0,5.991594,327.26477
20210622T2100,21.100529,60.0,6.9247384,332.10272
20210622T2200,20.05053,66.0,8.905908,345.96375
20210622T2300,18.940529,74.0,7.5170207,343.30075
20210623T0000,18.030529,80.0,6.989936,325.4915
20210623T0100,17.330528,85.0,6.193674,324.46234
20210623T0200,16.930529,88.0,3.319036,319.3987
20210623T0300,16.580528,90.0,2.6208394,344.0546
20210623T0400,16.180529,92.0,4.6938252,274.3987
20210623T0500,15.680529,94.0,6.489992,266.8202
20210623T0600,15.5505295,94.0,6.12,270.0
20210623T0700,15.790529,93.0,5.506941,281.30994
20210623T0800,16.95053,87.0,4.8965297,306.02737
20210623T0900,17.610529,86.0,6.696387,323.74615
20210623T1000,18.180529,83.0,9.826088,331.55707
20210623T1100,18.510529,78.0,9.793058,342.89728
20210623T1200,19.88053,70.0,9.6932955,344.93152
20210623T1300,20.240528,67.0,9.028754,355.4261
20210623T1400,24.45053,52.0,8.12197,12.804245
20210623T1500,23.690529,53.0,6.6185193,22.380127
20210623T1600,23.40053,54.0,4.3349743,4.7636414
20210623T1700,22.87053,56.0,7.342588,348.69006
20210623T1800,22.010529,59.0,9.227524,339.44397
20210623T1900,20.850529,70.0,12.24,331.92752
20210623T2000,18.860529,82.0,13.276144,319.3987
20210623T2100,17.82053,90.0,11.246759,320.19443
20210623T2200,17.190529,94.0,11.183201,326.82147
20210623T2300,16.56053,95.0,10.829959,344.57782
20210624T0000,16.14053,96.0,8.759178,350.5377
20210624T0100,16.080528,95.0,7.9932966,324.16235
20210624T0200,15.970529,96.0,8.942214,319.8991
20210624T0300,15.870529,96.0,9.220499,321.3402
20210624T0400,15.710529,96.0,8.913181,313.36343
20210624T0500,15.490529,96.0,8.404285,316.73572
20210624T0600,15.390529,96.0,7.8954163,316.8476
20210624T0700,15.450529,95.0,7.653705,318.8141
20210624T0800,15.700529,94.0,7.7043357,307.40536
