fid,X,FECHA,HORA,MES,N,UBICACION,CRUCE,UBICACION_CRUCE,NUCLEO,ALCOHOLEMIA,GRAVEDAD,HERIDO_HOSP-24,HERIDO_HOSP+24,FALLECIDOS,ALCANCE,ATROPELLO,CAIDA,CHOQUE,COLISION,MARCHA_ATRAS,SALIDA_DE_VIA,SIN_CLASIF,VUELCO,AUTOR_DESC,N_VEHÍC,TURISMO,FURGON,CAMION,AUTOBUS,MOTOCICLET,CICLOMOTOR,BICICLETA,VMP,PEATON,ANIMAL,OTROS,DIA_SEMANA,DESNIVEL,TIPO_VIA,SENTIDO_UNICO,CARRILES_SENTIDO,VELOCIDAD_TRAMO,AÑO,Horario_Sol_AMANECER,Horario_Sol_OCASO,Aemet_prec
"661",2.57380356649907,2021/05/14,14:30:00,MAYO,"24",CR ANDRATX,FALSO,,PORTALS NOUS,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:36,20:56,"0,0"
"662",2.48375158767221,2021/05/14,15:10:00,MAYO,"24",AV NEPTUNO,FALSO,,EL TORO,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:36,20:56,"0,0"
"663",2.44612012790259,2021/05/15,12:18:00,MAYO,"18",CL TALAIA,FALSO,,PAGUERA,Negativa,Sin Heridos,"0","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:35,20:57,"0,0"
"664",2.49752974907832,2021/05/15,17:30:00,MAYO,,CM SON PILLO,FALSO,,CALVIA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:35,20:57,"0,0"
"665",2.53907195757078,2021/05/16,11:00:00,MAYO,"13",CL MESTRE NICOLAU,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2021",06:34,20:58,"0,0"
"666",2.50162590105173,2021/05/17,18:10:00,MAYO,"2",CL ILLES BALEARS,FALSO,,SON BUGADELLES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:33,20:59,"0,0"
"667",2.53721432500204,2021/05/17,07:00:00,MAYO,"38",PS MAR,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:33,20:59,"0,0"
"668",2.53633257938487,2021/05/19,12:25:00,MAYO,"4",CL PINZONS,VERDADERO,CL MARE NOSTRUM,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2021",06:32,21:01,"0,0"
"669",2.53059812884621,2021/05/20,19:20:00,MAYO,"4",CM PORRASSA,FALSO,,MAGALUF,Negativa,HERIDO_HOSP-24,"1","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2021",06:31,21:01,"0,0"
"670",2.4759797712556,2021/05/20,10:10:00,MAYO,,GV PENYES ROTGES,VERDADERO,CL PUIG DE LA SIRVI,SANTA PONSA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2021",06:31,21:01,"0,0"
"671",2.50410886442597,2021/05/20,13:50:00,MAYO,,CL VICENTE CHINCHILLA,VERDADERO,CL CA NA CUCO,CALVIA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2021",06:31,21:01,"0,0"
"672",2.53060532897245,2021/05/21,07:00:00,MAYO,"6",AV PALMERES,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:30,21:02,"0,0"
"673",2.47136989043335,2021/05/21,10:25:00,MAYO,"29",AV MAR,FALSO,,COSTA DE LA CALMA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:30,21:02,"0,0"
"674",2.53913117845101,2021/05/22,23:00:00,MAYO,"11",CL PUNTA BALENA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:30,21:03,"0,0"
"675",2.5179439069874,2021/05/22,01:00:00,MAYO,,CR CALA FIGUERA,FALSO,,SA PORRASSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:30,21:03,"0,0"
"676",2.56616045233892,2021/05/23,08:37:00,MAYO,,AV TOMAS BLANES TOLOSA,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2021",06:29,21:04,"32,2"
"677",2.487138166889,2021/05/24,00:00:00,MAYO,,CL RIU SIL,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:28,21:05,"0,0"
"678",2.5951994614623,2021/05/25,14:10:00,MAYO,"29",CR ANDRATX,FALSO,,CAS CATALA-SES ILLETES,Negativa,HERIDO_HOSP-24,"1","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:28,21:06,"0,0"
"679",2.50331145044539,2021/05/25,13:00:00,MAYO,"9",CL CONDOR,FALSO,,SON FERRER,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:28,21:06,"0,0"
"680",2.45130493864669,2021/05/25,08:55:00,MAYO,"1",CL PINS,FALSO,,PAGUERA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:28,21:06,"0,0"
"681",2.56737817368849,2021/05/25,17:45:00,MAYO,"1",CL MIGUEL DE CERVANT,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:28,21:06,"0,0"
"682",2.51478305157004,2021/05/26,12:25:00,MAYO,,CM SON PILLO,FALSO,,SON BUGADELLES,Negativa,HERIDO_HOSP-24,"1","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2021",06:27,21:06,"0,0"
"683",2.56617755263873,2021/05/26,07:45:00,MAYO,"41",AV TOMAS BLANES TOLOSA,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2021",06:27,21:06,"0,0"
"684",2.58028800002866,2021/05/28,17:05:00,MAYO,"1",CL ANDREU FERRET SOB,VERDADERO,AV BENDINAT,BENDINAT,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:26,21:08,"0,0"
"685",2.46455317091993,2021/05/28,17:30:00,MAYO,"16",CL SERRAL,FALSO,,ES CAPDELLA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:26,21:08,"0,0"
"686",2.48854489155225,2021/05/28,11:20:00,MAYO,,AV REI JAUME I,VERDADERO,CL RIU SIL,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:26,21:08,"0,0"
"687",2.57281786905938,2021/05/29,10:15:00,MAYO,"4",PZ PORTALS,VERDADERO,PASSEIG CALVIA,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:25,21:09,"0,0"
"688",2.54710081817788,2021/05/29,10:00:00,MAYO,"1",CL SARAGOSSA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:25,21:09,"0,0"
"689",2.56718557031169,2021/05/29,15:05:00,MAYO,"44",CL SANTA LAVINIA,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:25,21:09,"0,0"
"690",2.4761066734805,2021/05/30,18:30:00,MAYO,,PASSEIG CALVIA,FALSO,,EL TORO,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",,,,,,"2021",06:25,21:10,"0,0"
"691",2.53027862324452,2021/05/31,17:25:00,MAYO,"25",CL MARGALIDES,FALSO,,BADIA DE PALMA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:24,21:10,"0,0"
"692",2.52626455286825,2021/05/31,18:30:00,MAYO,,CL ROSA,FALSO,,BADIA DE PALMA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:24,21:10,"0,0"
"693",2.54023099773348,2021/05/31,12:20:00,MAYO,"10",CL CORDOVA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:24,21:10,"0,0"
"694",2.53434056747802,2021/06/01,20:00:00,JUNIO,"2",CL CARLOS SAENZ DE TEJADA GARCIA,FALSO,,MAGALUF,Negativa,HERIDO_HOSP-24,"1","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:24,21:11,"8,8"
"695",2.53182072512954,2021/06/01,22:35:00,JUNIO,"6",AV NOTARI ALEMANY,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:24,21:11,"8,8"
"696",2.52614253537386,2021/06/01,17:15:00,JUNIO,,CL QUEVEDO,FALSO,,BADIA DE PALMA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:24,21:11,"8,8"
"697",2.51126661033817,2021/06/02,16:50:00,JUNIO,,CR MAGALUF-S.PONSA,FALSO,,SON FERRER,Negativa,HERIDO_HOSP-24,"1","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2021",06:24,21:12,"0,0"
"698",2.57247221386736,2021/06/02,09:15:00,JUNIO,"6",CL MARGALIDA COLL,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2021",06:24,21:12,"0,0"
"699",2.59684027006781,2021/06/02,18:00:00,JUNIO,,CR ANDRATX,VERDADERO,CL CALVIA,CAS CATALA-SES ILLETES,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2021",06:24,21:12,"0,0"
"700",2.56656021629822,2021/06/03,23:45:00,JUNIO,"2",CL ANTONI M. ALCOVER,FALSO,,COSTA DEN BLANES,Positivo,Sin Heridos,"0","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2021",06:23,21:12,"0,0"
"701",2.54377754796252,2021/06/03,15:25:00,JUNIO,"29",CL TORRENOVA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2021",06:23,21:12,"0,0"
"702",2.59683094882608,2021/06/04,16:30:00,JUNIO,,CR ANDRATX,VERDADERO,CL CALVIA,CAS CATALA-SES ILLETES,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:23,21:13,"0,1"
"703",2.53522763898295,2021/06/05,23:20:00,JUNIO,,CL FEDERICO GARCIA LORCA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:23,21:14,"6,2"
"704",2.53284295463959,2021/06/05,11:30:00,JUNIO,,CL CARLOS SAENZ DE TEJADA GARCIA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:23,21:14,"6,2"
"705",2.57315810190489,2021/06/07,16:40:00,JUNIO,"6",CL ORATORI,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:22,21:15,"0,0"
"706",2.48739180317943,2021/06/07,18:07:00,JUNIO,"8",CL RIU SIL,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:22,21:15,"0,0"
"707",2.48235211848247,2021/06/07,18:30:00,JUNIO,"4",CL RIU SIL,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:22,21:15,"0,0"
"708",2.46089617355343,2021/06/08,18:20:00,JUNIO,"3",GV MALGRATS,FALSO,,SANTA PONSA,Negativa,HERIDO_HOSP+24,"0","1","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:22,21:15,"0,0"
"709",2.44585635001726,2021/06/08,13:05:00,JUNIO,"10",CL BELL TURO,FALSO,,PAGUERA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:22,21:15,"0,0"
"710",2.44940774311753,2021/06/09,17:40:00,JUNIO,"48",AV PEGUERA,FALSO,,PAGUERA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2021",06:22,21:16,"0,0"
"711",2.47897472189456,2021/06/09,14:00:00,JUNIO,,CL PLATJA,FALSO,,EL TORO,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2021",06:22,21:16,"0,0"
"712",2.54329750401328,2021/06/11,23:10:00,JUNIO,"3",CL TEIDE,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:21,21:17,"0,0"
"713",2.53406636761705,2021/06/11,19:00:00,JUNIO,,CL CARLOS SAENZ DE TEJADA GARCIA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2021",06:21,21:17,"0,0"
"714",2.47466209405276,2021/06/12,12:55:00,JUNIO,"3",CL REI FERRAN II,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:21,21:17,"0,0"
"715",2.50232443243567,2021/06/12,11:10:00,JUNIO,"8",CL MUSSOL,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:21,21:17,"0,0"
"716",2.48615363156923,2021/06/12,09:30:00,JUNIO,"114",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2021",06:21,21:17,"0,0"
"717",2.54027431461122,2021/06/13,13:45:00,JUNIO,"10",CL CORDOVA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2021",06:21,21:18,"0,0"
"718",2.5194693030632,2021/06/13,11:55:00,JUNIO,,AV PORTALS VELLS,FALSO,,PORTALS VELLS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2021",06:21,21:18,"0,0"
"719",2.55886505609315,2021/06/14,16:37:00,JUNIO,"11000",PASSEIG CALVIA,FALSO,,COSTA DEN BLANES,Negativa,Fallecido,"0","0","1",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:21,21:18,"0,0"
"720",2.56623552637786,2021/06/14,10:45:00,JUNIO,,AV TOMAS BLANES TOLOSA,FALSO,,COSTA DEN BLANES,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2021",06:21,21:18,"0,0"
"721",2.51293821968896,2021/06/15,17:25:00,JUNIO,"25",CM QUARTERADES,FALSO,,CALVIA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2021",06:21,21:19,"0,0"
