gid;hora;mes;n;ubicacion;cruce;ubicacion_;nucleo;alcoholemi;gravedad;herido_hos;herido_h_1;fallecidos;alcance;atropello;caida;choque;colision;marcha_atr;salida_de_;sin_clasif;vuelco;autor_desc;n_vehÍc;turismo;furgon;camion;autobus;motociclet;ciclomotor;bicicleta;vmp;peaton;animal;otros;dia_semana;aÑo;fecha;HORARIO_SOL_AMANECER;HORARIO_SOL_OCASO;coord_x;coord_y
"254";23:30;JULIO;"8";CL PARIS;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/07/11;06:32:00;21:18:00;2.5316099000;39.5193553000
"255";18:50;JULIO;"9";PS MAR;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/07/12;06:32:00;21:17:00;2.5374133000;39.5214147000
"256";12:30;JULIO;;CL MINO;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;3;"2020";2020/07/14;06:34:00;21:16:00;2.5324434000;39.5127083000
"257";12:20;JULIO;"1";CL ILLA;FALSO;;EL TORO;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/07/15;06:35:00;21:16:00;2.4776257000;39.4842583000
"258";13:35;JULIO;"28";CL BERNAT DE CAMPANES;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/07/16;06:35:00;21:15:00;2.4780822000;39.5209344000
"259";15:45;JULIO;;CR PORTALS VELLS;FALSO;;PORTALS VELLS;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/07/16;06:35:00;21:15:00;2.5094185012;39.4844306060
"260";10:30;JULIO;"10";CL CORDOVA;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/07/18;06:37:00;21:14:00;2.5403091000;39.5300193000
"261";19:05;JULIO;"6";CL ALT;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/07/18;06:37:00;21:14:00;2.5372687000;39.5113309000
"262";13:00;JULIO;;PLATJA ILLETES;FALSO;;CAS CATALA-SES ILLETES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/07/18;06:37:00;21:14:00;2.5898794000;39.5366682000
"263";12:00;JULIO;"44";PS MAR;FALSO;;PALMANOVA;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/07/18;06:37:00;21:14:00;2.5366648000;39.5201321000
